CHC动作电影,rtp://239.253.92.134:6117
电视指南高清,rtp://239.253.93.249:6427
第一剧场高清,rtp://239.253.93.138:6428
风云剧场高清,rtp://239.253.93.251:6429
怀旧剧场高清,rtp://239.253.93.252:6430
风云音乐高清,rtp://239.253.93.253:6431
风云足球高清,rtp://239.253.93.254:6432
高尔夫网球高清,rtp://239.253.93.122:6465
武术世界高清,rtp://239.253.93.46:6434
兵器科技高清,rtp://239.253.93.47:6435
世界地理高清,rtp://239.253.92.131:6113
文物宝库高清,rtp://239.253.93.180:6437
女性时尚高清,rtp://239.253.92.144:6114
文化精品高清,rtp://239.253.93.175:6439
早期教育高清,rtp://239.253.93.164:6440
梨园高清,rtp://239.253.93.133:6441
CCTV-4K,rtp://239.253.93.134:6631
CCTV4中文国际欧洲,rtp://239.253.93.192:6370
CCTV4中文国际美洲,rtp://239.253.93.193:6371
CGTN 英文记录,rtp://239.253.93.195:6373
CGTN 西班牙语,rtp://239.253.93.196:6374
CGTN 法语,rtp://239.253.93.197:6375
CGTN 阿拉伯语,rtp://239.253.93.198:6376
CGTN 俄语,rtp://239.253.93.199:6377
CCTV-4K超高清,rtp://239.253.94.43:6468
慢直播1,rtp://239.253.94.1:6600
慢直播2,rtp://239.253.94.2:6601
慢直播3,rtp://239.253.94.3:6602
慢直播4,rtp://239.253.94.4:6603
慢直播5,rtp://239.253.94.5:6604
慢直播6,rtp://239.253.94.6:6605
慢直播7,rtp://239.253.94.7:6606
慢直播8,rtp://239.253.94.8:6607
慢直播9,rtp://239.253.94.9:6608
慢直播10,rtp://239.253.94.10:6609
慢直播11,rtp://239.253.94.11:6610
慢直播12,rtp://239.253.94.12:6611
慢直播13,rtp://239.253.94.13:6612
慢直播14,rtp://239.253.94.14:6613
慢直播15,rtp://239.253.94.15:6614
慢直播16,rtp://239.253.94.16:6615
慢直播17,rtp://239.253.94.17:6616
慢直播18,rtp://239.253.94.18:6617
慢直播19,rtp://239.253.94.19:6618
慢直播20,rtp://239.253.94.20:6619
慢直播21,rtp://239.253.94.21:6620
慢直播22,rtp://239.253.94.22:6621
慢直播23,rtp://239.253.94.23:6622
慢直播24,rtp://239.253.94.24:6623
慢直播九屏1,rtp://239.253.94.25:6624
慢直播九屏2,rtp://239.253.94.26:6625
慢直播九屏3,rtp://239.253.94.27:6626
凤凰卫视电影台,rtp://239.253.93.81:6247
凤凰卫视中文台,rtp://239.253.93.82:6248
凤凰卫视资讯台,rtp://239.253.93.83:6249
4K频道,rtp://239.253.92.114:6187
羽毛球专区,rtp://239.253.93.202:6380
主视角-4K,rtp://239.253.93.123:6291
主视角-高清,rtp://239.253.93.124:6292
辅视角1-高清,rtp://239.253.93.125:6293
辅视角 2-高清,rtp://239.253.93.126:6294
辅视角 3-高清,rtp://239.253.93.127:6295
主视角-标清,rtp://239.253.93.128:6296
辅视角 1-标清,rtp://239.253.93.129:6297
辅视角 2-标清,rtp://239.253.93.130:6298
辅视角 3-标清,rtp://239.253.93.131:6299
临时直播频道2,rtp://239.253.92.21:6226
临时直播频道3,rtp://239.253.92.216:6227
临时直播频道4,rtp://239.253.92.219:6228
临时直播频道5,rtp://239.253.92.220:6229
九屏直播频道,rtp://239.253.92.203:6150
临时直播,rtp://239.253.92.116:6029
党教,rtp://239.253.92.125:6024
